codigo,categoria,bloque,materia,codigo_id,fecha_actualizacion,url_codigo,pdf_url,epub_url,marca_tiempo
Código del Derecho de la Discapacidad. Legislación de Galicia,Derecho de la Discapacidad,social-sanidad,social-sanidad,454_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Galicia,04/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=454_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Galicia&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=454_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Galicia.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=454_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Galicia.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de Andalucía,Derecho de la Discapacidad,social-sanidad,social-sanidad,445_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Andalucia,09/06/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=445_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Andalucia&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=445_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Andalucia.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=445_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Andalucia.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación del Principado de Asturias,Derecho de la Discapacidad,social-sanidad,social-sanidad,460_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Principado_de_Asturias,10/08/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=460_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Principado_de_Asturias&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=460_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Principado_de_Asturias.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=460_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Principado_de_Asturias.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de Cantabria,Derecho de la Discapacidad,social-sanidad,social-sanidad,447_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cantabria,31/08/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=447_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cantabria&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=447_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cantabria.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=447_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cantabria.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de La Rioja,Derecho de la Discapacidad,social-sanidad,social-sanidad,457_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_La_Rioja,09/06/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=457_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_La_Rioja&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=457_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_La_Rioja.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=457_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_La_Rioja.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de la Región de Murcia,Derecho de la Discapacidad,social-sanidad,social-sanidad,461_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Region_de_Murcia,08/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=461_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Region_de_Murcia&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=461_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Region_de_Murcia.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=461_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Region_de_Murcia.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de la Comunidad Valenciana,Derecho de la Discapacidad,social-sanidad,social-sanidad,452_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Comunidad_Valenciana,03/08/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=452_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Comunidad_Valenciana&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=452_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Comunidad_Valenciana.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=452_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_la_Comunidad_Valenciana.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de Aragón,Derecho de la Discapacidad,social-sanidad,social-sanidad,446_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Aragon,16/09/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=446_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Aragon&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=446_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Aragon.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=446_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Aragon.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de Castilla-La Mancha,Derecho de la Discapacidad,social-sanidad,social-sanidad,448_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Castilla,15/10/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=448_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Castilla&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=448_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Castilla.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=448_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Castilla.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de las Islas Canarias,Derecho de la Discapacidad,social-sanidad,social-sanidad,456_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_las_Islas_Canarias,31/07/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=456_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_las_Islas_Canarias&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=456_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_las_Islas_Canarias.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=456_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_las_Islas_Canarias.epub,2026-09-11T05:30:01Z
